Domain,INN,Email,Source URLs,Error
"kranikoff.ru","7810953727","info@kranikoff.ru","https://kranikoff.ru/; https://kranikoff.ru/o-kompanii; https://kranikoff.ru/kontakty",""
"santech.ru","","zakaz@santech.ru","https://www.santech.ru/",""
"ozon.ru","","","https://ozon.ru/?__rr=1",""
"onyxspb.ru","7801405107","info@onyxspb.ru","https://onyxspb.ru/",""
"gremir.ru","7729445917","ZAKAZ@GREMIR.RU; zakaz@gremir.ru","https://gremir.ru/; https://gremir.ru/contacts/",""
"metallsnab-nn.ru","","nn@metsnab.pro","https://www.metallsnab-nn.ru/",""
"spb.lemanapro.ru","","","https://spb.lemanapro.ru/",""
"lunda.ru","","","https://lunda.ru/",""
"wodoprovod.ru","","info@wodoprovod.ru","https://wodoprovod.ru/; https://wodoprovod.ru/kontakty.html",""
"tehprommarket.ru","7708186669","dimj@bk.ru; zakaz@tehprommarket.ru","https://tehprommarket.ru/",""
"magamax.ru","7719181091","metall@magamax.ru; opt@magamax.ru; hr@magamax.ru","https://magamax.ru/; https://magamax.ru/about/; https://magamax.ru/about/contacts/",""
"gtv-meridian.ru","7816695215","info@gtv-meridian.ru","https://gtv-meridian.ru/; https://gtv-meridian.ru/about/",""
"rt-metall.ru","","gen@rt-metall.ru","https://rt-metall.ru/; https://rt-metall.ru/%D0%BA%D0%BE%D0%BD%D1%82%D0%B0%D0%BA%D1%82%D1%8B/; https://rt-metall.ru/%D0%BE-%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D0%B8/",""
"aspmarket.ru","5074068958","info@aspmarket.ru","https://aspmarket.ru/; https://aspmarket.ru/contacts/",""
"kazan.pulscen.ru","","","https://kazan.pulscen.ru/",""
"awstroy.ru","7816657139","zakaz@awstroy.ru","https://awstroy.ru/; https://awstroy.ru/contacts/; https://awstroy.ru/company/; https://awstroy.ru/company/rekvizity/",""
"trubamax.ru","","","https://www.trubamax.ru/",""
"vseinstrumenti.ru","","","https://vseinstrumenti.ru/",""
"armstroy-nn.ru","","info@armstroy-nn.ru","https://armstroy-nn.ru/; https://armstroy-nn.ru/company/about/; https://armstroy-nn.ru/contacts/",""
"pndtech.ru","","zakaz@pndtech.ru","https://www.pndtech.ru/",""
"vorder.ru","","info@vorder.ru","https://www.vorder.ru/",""
"spb-stal.ru","7811575683","3349151@mail.ru","https://spb-stal.ru/; https://spb-stal.ru/konatkty/; https://spb-stal.ru/o_kompanii/requisites/",""
"ecomont.ru","","","","Таймаут загрузки страницы"
"dn.ru","7724452117","sklad@dn.ru; info@dn.ru","https://dn.ru/; https://dn.ru/about; https://dn.ru/contacts",""
"tda-spb.ru","","info@tda-spb.ru","https://tda-spb.ru/; https://tda-spb.ru/o-kompanii/; https://tda-spb.ru/kontakty/",""
"sm2000.ru","","office@sm2000.ru","https://www.sm2000.ru/",""
"spb.pulscen.ru","","","https://spb.pulscen.ru/",""
"teharmatura.ru","7722352607","sales@teharmatura.ru","https://teharmatura.ru/; https://teharmatura.ru/company/rekvizity/",""
"yaroslavl.bigam.ru","","","https://yaroslavl.bigam.ru/",""
"ingenerseti.ru","","sale@ingenerseti.ru","https://ingenerseti.ru/; https://ingenerseti.ru/about/; https://ingenerseti.ru/contacts/",""
"market.yandex.ru","","","https://market.yandex.ru/",""
"inoxpoint.ru","","info@inoxpoint.ru","https://www.inoxpoint.ru/",""
"stks-perm.ru","","info@perm.stks.ru","https://stks-perm.ru/; https://stks-perm.ru/site/kontakty/",""
"mkuralsteel-chlb.ru","","","https://www.mkuralsteel-chlb.ru/",""
"vl.cs27.ru","","612233@cs27.ru; 772233@cs27.ru; 3372233@cs27.ru; 372233@cs27.ru; 992233@cs27.ru; 2372233@cs27.ru","https://vl.cs27.ru/; https://vl.cs27.ru/contacts/",""
"severarm.ru","7802836674","severarm@bk.ru","https://severarm.ru/",""
"nn.met-trans.ru","5257186476","nn@met-trans.ru","https://nn.met-trans.ru/; https://nn.met-trans.ru/about; https://nn.met-trans.ru/contacts",""
"armafit.ru","","sales@armafit.ru","https://armafit.ru/; https://armafit.ru/kontakty",""
"mc.ru","","contact@mc.ru","https://mc.ru/; https://mc.ru/company/contacts; https://mc.ru/company/history",""
"mkuralsteel-irkutsk.ru","","","https://www.mkuralsteel-irkutsk.ru/",""
"mpstal.ru","7840505793","info@mpstal.ru","https://mpstal.ru/; https://mpstal.ru/contacts",""
"rts-ufa.ru","","","https://www.rts-ufa.ru/",""
"zavod-rekom.ru","","zakaz@zavod-rekom.ru; REKOM@ZAVOD-REKOM.RU; ZAKAZ@ZAVOD-REKOM.RU","https://zavod-rekom.ru/; https://zavod-rekom.ru/about/; https://zavod-rekom.ru/contacts/",""
"armaseti-russia.ru","7725363283","spb@armaseti-russia.ru","https://armaseti-russia.ru/; https://armaseti-russia.ru/contacts/",""
"waterman-t.ru","","company@waterman-t.com","https://waterman-t.ru/; https://waterman-t.ru/addr; https://waterman-t.ru/about",""
"23met.ru","","23met@23met.ru","https://23met.ru/",""
"metallsnab-sam.ru","","","https://www.metallsnab-sam.ru/",""
"metallsnab-vrn.ru","","","https://www.metallsnab-vrn.ru/",""
"interarm-ekb.ru","6678103452","info@interarm-ekb.ru","https://interarm-ekb.ru/; https://interarm-ekb.ru/kontakty/",""
"metall-ural.ru","","metall-ural@bk.ru","https://metall-ural.ru/; https://metall-ural.ru/feedback/",""
